FIPS,qtr,Property,Violence,Drug,Prostitution,pop,med_inc,pct_color,pop_density,Property.k,Violence.k,Drug.k,Prostitution.k,Allcrime,Allcrime.k,group
8031002901,2013.75,45,4,7,0,3246,74792,0.15526802218114602,8489.813069380285,13.863216266173753,1.2322858903265557,2.1565003080714726,0,56,17.25200246457178,3
8031002901,2014,31,4,2,0,3246,74792,0.15526802218114602,8489.813069380285,9.550215650030808,1.2322858903265557,0.6161429451632778,0,37,11.398644485520641,3
8031002901,2014.25,36,4,1,0,3246,74792,0.15526802218114602,8489.813069380285,11.090573012939002,1.2322858903265557,0.3080714725816389,0,41,12.630930375847196,3
8031002901,2014.5,17,3,3,0,3246,74792,0.15526802218114602,8489.813069380285,5.237215033887862,0.9242144177449169,0.9242144177449169,0,23,7.085643869377695,3
8031002901,2014.75,34,4,0,0,3246,74792,0.15526802218114602,8489.813069380285,10.474430067775724,1.2322858903265557,0,0,38,11.70671595810228,3
8031002901,2015,23,2,2,0,3246,74792,0.15526802218114602,8489.813069380285,7.085643869377695,0.6161429451632778,0.6161429451632778,0,27,8.317929759704251,3
8031002901,2015.25,31,9,1,0,3246,74792,0.15526802218114602,8489.813069380285,9.550215650030808,2.7726432532347505,0.3080714725816389,0,41,12.630930375847196,3
8031002901,2015.5,26,3,3,0,3246,74792,0.15526802218114602,8489.813069380285,8.009858287122613,0.9242144177449169,0.9242144177449169,0,32,9.858287122612445,3
8031002901,2015.75,35,2,1,0,3246,74792,0.15526802218114602,8489.813069380285,10.782501540357362,0.6161429451632778,0.3080714725816389,0,38,11.70671595810228,3
8031002901,2016,33,2,5,0,3246,74792,0.15526802218114602,8489.813069380285,10.166358595194085,0.6161429451632778,1.5403573629081948,0,40,12.322858903265558,3
8031002901,2016.25,42,2,2,0,3246,74792,0.15526802218114602,8489.813069380285,12.939001848428836,0.6161429451632778,0.6161429451632778,0,46,14.17128773875539,3
8031002901,2016.5,43,7,4,0,3246,74792,0.15526802218114602,8489.813069380285,13.247073321010474,2.1565003080714726,1.2322858903265557,0,54,16.635859519408502,3
8031002901,2016.75,28,3,1,0,3246,74792,0.15526802218114602,8489.813069380285,8.62600123228589,0.9242144177449169,0.3080714725816389,0,32,9.858287122612445,3
8031002901,2017,37,5,4,0,3246,74792,0.15526802218114602,8489.813069380285,11.398644485520641,1.5403573629081948,1.2322858903265557,0,46,14.17128773875539,3
8031002901,2017.25,41,5,2,0,3246,74792,0.15526802218114602,8489.813069380285,12.630930375847196,1.5403573629081948,0.6161429451632778,0,48,14.78743068391867,3
8031002901,2017.5,29,1,4,0,3246,74792,0.15526802218114602,8489.813069380285,8.93407270486753,0.3080714725816389,1.2322858903265557,0,34,10.474430067775724,3
8031002901,2017.75,31,5,4,0,3246,74792,0.15526802218114602,8489.813069380285,9.550215650030808,1.5403573629081948,1.2322858903265557,0,40,12.322858903265558,3
