FIPS,qtr,no_action_sub,no_action_veh,citation_sub,citation_veh,arrest_sub,arrest_veh,no_action,citation,arrest,allstop,allstop_sub,allstop_veh,pop,med_inc,pct_color,pop_density,allstop.k,no_action.k,citation.k,arrest.k,group
8031004303,2014.5,3,8,0,5,0,1,11,5,1,17,3,14,4054,175313,0.07523433645781943,4231.631054253156,4.193389245189936,2.7133695115934877,1.23334977799704,0.246669955599408,3
8031004303,2014.75,0,10,0,2,1,1,10,2,2,14,1,13,4054,175313,0.07523433645781943,4231.631054253156,3.4533793783917117,2.46669955599408,0.493339911198816,0.493339911198816,3
8031004303,2015,4,3,0,6,0,0,7,6,0,13,4,9,4054,175313,0.07523433645781943,4231.631054253156,3.206709422792304,1.7266896891958559,1.480019733596448,0,3
8031004303,2015.25,2,6,0,2,3,0,8,2,3,13,5,8,4054,175313,0.07523433645781943,4231.631054253156,3.206709422792304,1.973359644795264,0.493339911198816,0.740009866798224,3
8031004303,2015.5,5,6,0,1,0,1,11,1,1,13,5,8,4054,175313,0.07523433645781943,4231.631054253156,3.206709422792304,2.7133695115934877,0.246669955599408,0.246669955599408,3
8031004303,2015.75,4,13,0,4,0,2,17,4,2,23,4,19,4054,175313,0.07523433645781943,4231.631054253156,5.673408978786384,4.193389245189936,0.986679822397632,0.493339911198816,3
8031004303,2016,6,13,0,7,0,1,19,7,1,27,6,21,4054,175313,0.07523433645781943,4231.631054253156,6.660088801184016,4.686729156388751,1.7266896891958559,0.246669955599408,3
8031004303,2016.25,8,8,0,2,2,0,16,2,2,20,10,10,4054,175313,0.07523433645781943,4231.631054253156,4.93339911198816,3.946719289590528,0.493339911198816,0.493339911198816,3
8031004303,2016.5,4,6,0,2,1,1,10,2,2,14,5,9,4054,175313,0.07523433645781943,4231.631054253156,3.4533793783917117,2.46669955599408,0.493339911198816,0.493339911198816,3
8031004303,2016.75,3,18,0,21,1,0,21,21,1,43,4,39,4054,175313,0.07523433645781943,4231.631054253156,10.606808090774544,5.180069067587568,5.180069067587568,0.246669955599408,3
8031004303,2017,0,13,0,12,0,2,13,12,2,27,0,27,4054,175313,0.07523433645781943,4231.631054253156,6.660088801184016,3.206709422792304,2.960039467192896,0.493339911198816,3
8031004303,2017.25,0,14,1,22,1,2,14,23,3,40,2,38,4054,175313,0.07523433645781943,4231.631054253156,9.86679822397632,3.4533793783917117,5.673408978786384,0.740009866798224,3
8031004303,2017.5,6,15,0,31,0,2,21,31,2,54,6,48,4054,175313,0.07523433645781943,4231.631054253156,13.320177602368032,5.180069067587568,7.646768623581647,0.493339911198816,3
8031004303,2017.75,0,9,0,29,0,2,9,29,2,40,0,40,4054,175313,0.07523433645781943,4231.631054253156,9.86679822397632,2.220029600394672,7.153428712382832,0.493339911198816,3
8031004303,2018,2,14,0,19,0,4,16,19,4,39,2,37,4054,175313,0.07523433645781943,4231.631054253156,9.620128268376911,3.946719289590528,4.686729156388751,0.986679822397632,3
8031004303,2018.25,0,8,0,11,1,1,8,11,2,21,1,20,4054,175313,0.07523433645781943,4231.631054253156,5.180069067587568,1.973359644795264,2.7133695115934877,0.493339911198816,3
