incident_id,offense,year,date,geo_lon,geo_lat,district_id,precinct_id
20107266,Property,2010,05jan2010,-104.94505,39.686142,3,312
20106828,Property,2010,05jan2010,-105.0018,39.712402,4,411
20107987,Property,2010,05jan2010,-105.01134,39.686569,4,422
20106929,Property,2010,05jan2010,-104.90343,39.70137,3,321
20108183,Drug,2010,05jan2010,-104.93839,39.738277,2,222
20106578,Property,2010,05jan2010,-105.00691,39.769566,1,111
20107278,Property,2010,05jan2010,-104.946,39.739807,2,213
20107659,Property,2010,05jan2010,-104.87384,39.699425,3,321
20107066,Violence,2010,05jan2010,-104.98576,39.729996,6,623
20107429,Drug,2010,05jan2010,-104.98769,39.755077,6,611
20108106,Property,2010,05jan2010,-105.01503,39.748337,1,123
20107008,Property,2010,05jan2010,-104.99575,39.775265,1,112
20107007,Property,2010,05jan2010,-104.96606,39.682961,3,313
20106639,Violence,2010,05jan2010,-104.91485,39.755917,2,222
20105000123,Property,2010,05jan2010,-104.89478,39.638378,3,324
20107749,Violence,2010,05jan2010,,,5,521
20107523,Property,2010,05jan2010,-105.01356,39.712914,4,411
20105000115,Property,2010,05jan2010,-105.01682,39.748981,1,123
20107136,Drug,2010,05jan2010,-105.03355,39.740265,1,122
20107002,Property,2010,05jan2010,-105.03058,39.706493,4,412
20107053,Property,2010,05jan2010,-104.94807,39.73568,2,213
20108014,Drug,2010,05jan2010,-105.0274,39.728603,1,122
20107237,Drug,2010,05jan2010,-104.97154,39.739422,6,622
20107833,Property,2010,05jan2010,-104.92745,39.668716,3,314
20107230,Property,2010,05jan2010,-104.99235,39.726711,1,123
20107259,Violence,2010,05jan2010,-105.05626,39.657204,4,423
20105735,Property,2010,05jan2010,-105.02286,39.756893,1,121
20107189,Property,2010,05jan2010,-105.04639,39.733753,1,122
20106999,Property,2010,05jan2010,-105.04828,39.77216,1,111
20105000161,Property,2010,05jan2010,-104.89536,39.733597,2,223
20106599,Property,2010,05jan2010,-105.02712,39.700665,4,412
20107001,Property,2010,05jan2010,-105.04009,39.779217,1,111
20106630,Property,2010,05jan2010,-105.04411,39.788651,1,111
20107333,Drug,2010,05jan2010,-105.02116,39.677517,4,422
20108104,Violence,2010,05jan2010,-105.02354,39.773056,1,111
20105000135,Property,2010,05jan2010,-104.96752,39.748337,6,622
20105000131,Property,2010,05jan2010,-104.86168,39.658203,3,323
20107637,Property,2010,05jan2010,-105.03457,39.720642,4,411
20106402,Property,2010,05jan2010,-104.99572,39.736992,6,611
20108187,Property,2010,05jan2010,-104.94024,39.687149,3,322
20107908,Drug,2010,05jan2010,-105.02362,39.740406,1,122
20107314,Property,2010,05jan2010,-105.05192,39.727077,1,122
20106823,Property,2010,05jan2010,-115.46406,34.638241,1,123
20107782,Property,2010,05jan2010,-105.05244,39.679893,4,421
20106692,Violence,2010,05jan2010,-105.00332,39.768658,1,113
20106599,Drug,2010,05jan2010,-105.02712,39.700665,4,412
20105000136,Property,2010,05jan2010,-104.90974,39.627956,3,324
20107911,Property,2010,05jan2010,-104.98318,39.737061,6,623
20107125,Property,2010,05jan2010,-104.92027,39.694221,3,322
20107791,Property,2010,05jan2010,-104.88904,39.743233,2,223
20109471,Property,2010,06jan2010,-105.04656,39.717175,4,411
20105000204,Property,2010,06jan2010,-104.98574,39.735046,6,623
20108744,Property,2010,06jan2010,-104.99854,39.746811,6,611
20105000214,Property,2010,06jan2010,-104.89651,39.718945,3,321
20105000172,Property,2010,06jan2010,-104.97817,39.706139,3,312
20109413,Property,2010,06jan2010,-104.93791,39.679806,3,314
20109136,Property,2010,06jan2010,-104.99831,39.731365,1,123
20108438,Violence,2010,06jan2010,-105.04332,39.703117,4,412
20108478,Property,2010,06jan2010,-104.93708,39.678009,3,314
20105000194,Property,2010,06jan2010,-104.97672,39.726498,3,311
20108879,Property,2010,06jan2010,-105.03166,39.692795,4,421
20109323,Violence,2010,06jan2010,-104.98272,39.727734,6,623
20109111,Property,2010,06jan2010,-105.01319,39.787724,1,111
20108471,Property,2010,06jan2010,-104.79967,39.783951,5,522
20105000218,Property,2010,06jan2010,-105.04078,39.774506,1,111
20105000193,Property,2010,06jan2010,-104.90257,39.653046,3,324
20108949,Property,2010,06jan2010,-105.03556,39.65321,4,423
20108758,Property,2010,06jan2010,-105.02723,39.755669,1,121
20108491,Property,2010,06jan2010,-104.82127,39.79483,5,521
20108292,Property,2010,06jan2010,-105.01316,39.762272,1,113
20108934,Property,2010,06jan2010,-105.05192,39.727077,1,122
20105000219,Property,2010,06jan2010,-104.98746,39.701378,3,312
20108000504,Drug,2010,06jan2010,-104.67381,39.849293,7,759
20105000191,Property,2010,06jan2010,-104.93453,39.731625,2,222
20108339,Property,2010,06jan2010,-104.99617,39.744709,6,611
20108210,Drug,2010,06jan2010,-104.92545,39.719597,3,321
20108860,Property,2010,06jan2010,-104.88142,39.757347,5,512
20105000246,Property,2010,06jan2010,-104.90281,39.699215,3,321
20108470,Property,2010,06jan2010,-104.77042,39.774422,5,523
20108571,Property,2010,06jan2010,-105.022,39.783119,1,111
20108540,Property,2010,06jan2010,-104.79967,39.783951,5,522
20108438,Property,2010,06jan2010,-105.04332,39.703117,4,412
20105000170,Property,2010,06jan2010,-105.05009,39.778229,1,111
20108710,Property,2010,06jan2010,-105.04361,39.714855,4,411
20108438,Violence,2010,06jan2010,-105.04332,39.703117,4,412
20108482,Property,2010,06jan2010,-104.88702,39.757652,5,512
20105000217,Property,2010,06jan2010,-105.04687,39.769012,1,113
20108773,Drug,2010,06jan2010,-105.00122,39.738277,1,123
20109053,Property,2010,06jan2010,-105.00167,39.750332,6,612
20105000183,Property,2010,06jan2010,-104.97442,39.741898,6,621
20108526,Property,2010,06jan2010,-115.46406,34.638241,4,422
20109030,Property,2010,06jan2010,-104.91412,39.676292,3,323
20109016,Property,2010,06jan2010,-105.02483,39.76255,1,113
20108327,Property,2010,06jan2010,-105.01253,39.761265,1,113
20108610,Property,2010,06jan2010,-104.97426,39.705818,3,312
20108795,Property,2010,06jan2010,-104.84307,39.78307,5,521
20109043,Property,2010,06jan2010,-105.03384,39.762363,1,113
20108566,Violence,2010,06jan2010,,,2,211
20108970,Property,2010,06jan2010,-104.99557,39.733788,1,123
20105000220,Property,2010,06jan2010,-104.89651,39.718945,3,321
20109092,Property,2010,06jan2010,-105.05034,39.678787,4,421
20108461,Property,2010,06jan2010,-104.9798,39.747288,6,621
20109171,Property,2010,06jan2010,-104.89177,39.740841,2,223
20108497,Property,2010,06jan2010,-105.0178,39.732689,1,122
20108619,Property,2010,06jan2010,-105.02986,39.745285,1,121
